filename,label
blues50.wav,blues
blues51.wav,blues
blues52.wav,blues
blues53.wav,blues
blues54.wav,blues
blues55.wav,blues
blues56.wav,blues
blues57.wav,blues
blues58.wav,blues
blues59.wav,blues
blues60.wav,blues
blues61.wav,blues
blues62.wav,blues
blues63.wav,blues
blues64.wav,blues
blues65.wav,blues
blues66.wav,blues
blues67.wav,blues
blues68.wav,blues
blues69.wav,blues
blues70.wav,blues
classical120.wav,classical
classical121.wav,classical
classical122.wav,classical
classical123.wav,classical
classical124.wav,classical
classical125.wav,classical
classical126.wav,classical
classical127.wav,classical
classical128.wav,classical
classical129.wav,classical
classical130.wav,classical
classical131.wav,classical
classical132.wav,classical
classical133.wav,classical
classical134.wav,classical
classical135.wav,classical
classical136.wav,classical
classical137.wav,classical
classical138.wav,classical
classical139.wav,classical
classical140.wav,classical
country190.wav,country
country191.wav,country
country192.wav,country
country193.wav,country
country194.wav,country
country195.wav,country
country196.wav,country
country197.wav,country
country198.wav,country
country199.wav,country
country200.wav,country
country201.wav,country
country202.wav,country
country203.wav,country
country204.wav,country
country205.wav,country
country206.wav,country
country207.wav,country
country208.wav,country
country209.wav,country
country210.wav,country
disco261.wav,disco
disco262.wav,disco
disco263.wav,disco
disco264.wav,disco
disco265.wav,disco
disco266.wav,disco
disco267.wav,disco
disco268.wav,disco
disco269.wav,disco
disco270.wav,disco
disco271.wav,disco
disco272.wav,disco
disco273.wav,disco
disco274.wav,disco
disco275.wav,disco
disco276.wav,disco
disco277.wav,disco
disco278.wav,disco
disco279.wav,disco
disco280.wav,disco
hiphop330.wav,hiphop
hiphop331.wav,hiphop
hiphop332.wav,hiphop
hiphop333.wav,hiphop
hiphop334.wav,hiphop
hiphop335.wav,hiphop
hiphop336.wav,hiphop
hiphop337.wav,hiphop
hiphop338.wav,hiphop
hiphop339.wav,hiphop
hiphop340.wav,hiphop
hiphop341.wav,hiphop
hiphop342.wav,hiphop
hiphop343.wav,hiphop
hiphop344.wav,hiphop
hiphop345.wav,hiphop
hiphop346.wav,hiphop
hiphop347.wav,hiphop
hiphop348.wav,hiphop
hiphop349.wav,hiphop
hiphop350.wav,hiphop
jazz401.wav,jazz
jazz402.wav,jazz
jazz403.wav,jazz
jazz404.wav,jazz
jazz405.wav,jazz
jazz406.wav,jazz
jazz407.wav,jazz
jazz408.wav,jazz
jazz409.wav,jazz
jazz410.wav,jazz
jazz411.wav,jazz
jazz412.wav,jazz
jazz413.wav,jazz
jazz414.wav,jazz
jazz415.wav,jazz
jazz416.wav,jazz
jazz417.wav,jazz
jazz418.wav,jazz
jazz419.wav,jazz
jazz420.wav,jazz
metal471.wav,metal
metal472.wav,metal
metal473.wav,metal
metal474.wav,metal
metal475.wav,metal
metal476.wav,metal
metal477.wav,metal
metal478.wav,metal
metal479.wav,metal
metal480.wav,metal
metal481.wav,metal
metal482.wav,metal
metal483.wav,metal
metal484.wav,metal
metal485.wav,metal
metal486.wav,metal
metal487.wav,metal
metal488.wav,metal
metal489.wav,metal
metal490.wav,metal
pop541.wav,pop
pop542.wav,pop
pop543.wav,pop
pop544.wav,pop
pop545.wav,pop
pop546.wav,pop
pop547.wav,pop
pop548.wav,pop
pop549.wav,pop
pop550.wav,pop
pop551.wav,pop
pop552.wav,pop
pop553.wav,pop
pop554.wav,pop
pop555.wav,pop
pop556.wav,pop
pop557.wav,pop
pop558.wav,pop
pop559.wav,pop
pop560.wav,pop
reggae611.wav,reggae
reggae612.wav,reggae
reggae613.wav,reggae
reggae614.wav,reggae
reggae615.wav,reggae
reggae616.wav,reggae
reggae617.wav,reggae
reggae618.wav,reggae
reggae619.wav,reggae
reggae620.wav,reggae
reggae621.wav,reggae
reggae622.wav,reggae
reggae623.wav,reggae
reggae624.wav,reggae
reggae625.wav,reggae
reggae626.wav,reggae
reggae627.wav,reggae
reggae628.wav,reggae
reggae629.wav,reggae
reggae630.wav,reggae
rock681.wav,rock
rock682.wav,rock
rock683.wav,rock
rock684.wav,rock
rock685.wav,rock
rock686.wav,rock
rock687.wav,rock
rock688.wav,rock
rock689.wav,rock
rock690.wav,rock
rock691.wav,rock
rock692.wav,rock
rock693.wav,rock
rock694.wav,rock
rock695.wav,rock
rock696.wav,rock
rock697.wav,rock
rock698.wav,rock
rock699.wav,rock
rock700.wav,rock
